Naistyp;Gebietsfremd;Krankheitsgefaehrdet;Code
Abies alba;0;0;0000100
Acer campestre;0;0;0000300
Acer opalus;0;0;0000600
Acer platanoides;0;0;0000700
Acer pseudoplatanus;0;0;0000800
Aesculus hippocastanum;1;0;0006900
Ailanthus altissima;1;0;0009500
Alnus glutinosa;0;0;0025200
Alnus incana;0;0;0025300
Alnus viridis;0;0;0025400
Betula pendula;0;0;0060400
Betula pubescens;0;0;0060500
Carpinus betulus;0;0;0096900
Castanea sativa;0;1;0097200
Celtis australis;0;0;0097800
Chamaecyparis lawsoniana;1;0;0107150
Cinnamomum glanduliferum;1;0;0113350
Cinnamomum camphora;1;0;0113399
Diospyros lotus;1;0;0137700
Fagus sylvatica;0;0;0165000
Ficus carica;0;0;0172200
Fraxinus excelsior;0;1;0174200
Fraxinus ornus;0;0;0174300
Ilex aquifolium;0;0;0213300
Juglans regia;0;0;0217500
Juniperus communis;0;0;0220400
Laburnum alpinum;0;0;0224200
Laburnum anagryoides;0;0;0224300
Larix decidua;0;0;0227200
Laurus nobilis;0;0;0231500
Ligustrum lucidum;1;0;0238050
Malus sylvestris;0;0;0252900
Olea europaea;1;0;0275100
Ostrya carpinifolia;0;0;0287100
Picea abies;0;0;0302800
Pinus cembra;0;0;0304900
Pinus mugo;0;0;0305500
Pinus uncinata;0;0;0305800
Pinus nigra;1;0;0305900
Pinus strobus;1;1;0306000
Pinus sylvestris aggr.;0;0;0306100
Platanus hispanica;1;0;0308600
Populus alba;0;0;0317100
Populus nigra;0;0;0317300
Populus tremula;0;0;0317500
Prunus avium;0;0;0328400
Prunus mahaleb;0;0;0329500
Prunus padus;0;0;0329700
Prunus serotina;1;0;0330200
Pseudotsuga menziesii;1;0;0330600
Pyrus pyraster;0;0;0335300
Quercus cerris;0;0;0335600
Quercus ilex;0;0;0335800
Quercus petraea;0;0;0335900
Quercus pubescens;0;0;0336000
Quercus robur;0;0;0336100
Quercus rubra;1;0;0336200
Quercus suber;1;0;0336250
Rhus typhina;1;0;0345600
Robinia pseudoacacia;1;0;0346500
Salix alba;0;0;0362800
Salix caprea;0;0;0363700
Salix daphnoides;0;0;0363900
Salix elaeagnos;0;0;0364000
Salix foetida;0;0;0364200
Salix fragilis;0;0;0364300
Salix purpurea L.;0;0;0365800
Sorbus aria;0;0;0402200
Sorbus aucuparia;0;0;0402300
Sorbus domestica;0;0;0402500
Sorbus mougeotii;0;0;0402600
Sorbus torminalis;0;0;0402700
Sorbus x latifolia (Lam.) Pers.;0;0;0402750
Taxus baccata;0;0;0413600
Tilia cordata;0;0;0421400
Tilia platyphyllos;0;0;0421500
Trachycarpus fortunei;1;0;0422450
Ulmus glabra;0;1;0432800
Ulmus laevis;0;0;0432900
Ulmus minor;0;1;0433000