custom_forest_type_code;forest_type_code;latin;german
N0001.0000000;1;Luzulo sylvaticae-/L. niveae-Fagetum typicum;Typischer Hainsimsen-Bu-Wald
N0001.0090000;1h;"Luzulo-Abieti-Fagetum; artenarme Ausbildung";Artenarmer Waldsimsen-Ta-Bu-Wald
N0002.0000000;2;Luzulo-Fagetum leucobryetosum;Hainsimsen-Bu-Wald mit Weissmoos
N0003.0000000;3;Luzulo niveae-Fagetum typicum;Typischer Schneesimsen-Bu-Wald
N0003.0000010;3s;"Luzulo niveae-Fagetum; trockene Ausbildung";Trockener Schneesimsen-Bu-Wald
N0003.0001500;3LV;"Ilici-Fagetum typicum; nährstoffarme Ausbildung";Nährstoffarmer Bu-Wald mit Stechpalme
N0003.0100000;3L/4L;Ilici-Fagetum typicum und dryopteridetosum;Mesophiler Bu-Wald mit Stechpalme
N0003.1000000;3*/4*;Rhododendro-Fagetum;Alpenrosen-Bu-Wald
N0004.0000000;4;Luzulo niveae-Fagetum dryopteridetosum;Farnreicher Schneesimsen-Bu-Wald
N0006.0000000;6;Galio odorati-Fagetum luzuletosum;Waldmeister-Bu-Wald mit Hainsimse
N0006.0000030;6Fe;"Galio odorati-Fagetum luzuletosum; Ausbildung auf Fels";Waldmeister-Bu-Wald mit Hainsimse auf Fels
N0007.0001200;7S;Galio-Fagetum stachyetosum sylvaticae;Feuchter Waldmeister-Bu-Wald
N0007.0001230;7SFe;"Galio-Fagetum stachyetosum sylvaticae; Ausbildung auf Fels";Feuchter Waldmeister-Bu-Wald auf Fels
N0007.0010000;7a;Galio-Fagetum typicum;Typischer Waldmeister-Bu-Wald
N0007.0010030;7aFe;"Galio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldmeister-Bu-Wald auf Fels
N0007.0020000;7b;Galio-Fagetum caricetosum remotae;Waldmeister-Bu-Wald mit Lockerähriger Segge
N0007.1000000;7*;Galio-Fagetum blechnetosum;Waldmeister-Bu-Wald mit Rippenfarn
N0008.0001200;8S;Milio-Fagetum stachyetosum sylvaticae;Feuchter Waldhirsen-Bu-Wald
N0008.0001230;8SFe;"Milio-Fagetum stachyetosum sylvaticae; Ausbildung auf Fels";Feuchter Waldhirsen-Bu-Wald auf Fels
N0008.0010000;8a;Milio-Fagetum typicum;Typischer Waldhirsen-Bu-Wald
N0008.0010030;8aFe;"Milio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldhirsen-Bu-Wald auf Fels
N0008.0020000;8b;Milio-Fagetum caricetosum remotae;Waldhirsen-Bu-Wald mit  Lockerähriger Segge
N0008.0040000;8d;Milio-Fagetum luzuletosum;Waldhirsen-Bu-Wald mit Hainsimse
N0008.0040030;8dFe;"Milio-Fagetum luzuletosum; Ausbildung auf Fels";Waldhirsen-Bu-Wald mit Hainsimse auf Fels
N0008.1000000;8*;Milio-Fagetum blechnetosum;Waldhirsen-Bu-Wald mit Rippenfarn
N0009.0010000;9a;Pulmonario-/ Lathyro-Fagetum typicum;Typischer Lungenkraut-/Platterbsen-Bu-Wald
N0009.0010030;9aFe;"Pulmonario-/ Lathyro-Fagetum typicum; Ausbildung auf Fels";Typischer Lungenkraut-/Platterbsen-Bu-Wald auf Fels
N0009.0140000;9w;Pulmonario-/ Lathyro-Fagetum caricetosum flaccae;Wechselfeuchter Lungenkraut-/Platterbsen-Bu-Wald
N0010.0010000;10a;Pulmonario-/ Lathyro-Fagetum melittetosum;Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt
N0010.0140000;10w;"Pulmonario-/ Lathyro-Fagetum melittetosum; Ausbildung mit Carex flacca";Wechseltrockener Lungenkraut-/Platterbsen-Bu-Wald mit Immenblatt
N0011.0000000;11;Aro-Fagetum;Aronstab-Bu-Wald
N0011.0000030;11Fe;"Aro-Fagetum; Ausbildung auf Fels";Aronstab-Bu-Wald auf Fels
N0012.0001200;12S;Mercuriali-/Cardamino-Fagetum circaetosum ;Feuchter Bingelkraut-/Zahnwurz-Bu-Wald
N0012.0001230;12SFe;"Mercuriali-/Cardamino-Fagetum circaetosum; Ausbildung auf Fels";Feuchter Bingelkraut-/Zahnwurz-Bu-Wald auf Fels
N0012.0010000;12a;Mercuriali-/Cardamino-Fagetum typicum;Typischer Bingelkraut-/Zahnwurz-Bu-Wald
N0012.0010030;12aFe;"Mercuriali-/Cardamino-Fagetum typicum; Ausbildung auf Fels";Typischer Bingelkraut-/Zahnwurz-Bu-Wald auf Fels
N0012.0050000;12e;Mercuriali-/Cardamino-Fagetum caricetosum albae;Trockener Bingelkraut-/Zahnwurz-Bu-Wald
N0012.0140000;12w;Mercuriali-/Cardamino-Fagetum caricetosum flaccae;Wechselfeuchter Bingelkraut-/Zahnwurz-Bu-Wald
N0012.1000000;12*;Cardamino-Fagetum insubricum sl.;Mesophiler insubrischer Kalk-Bu-Wald
N0012.1090000;12*h;Cardamino-Fagetum veratretosum;Kalk-Bu-Wald der insubrischen Gebirge
N0013.0010000;13a;Tilio-Fagetum typicum;Typischer Linden-Bu-Wald
N0013.0010030;13aFe;"Tilio-Fagetum typicum; Ausbildung auf Fels";Typischer Linden-Bu-Wald auf Fels
N0013.0050000;13e;Tilio-Fagetum caricetosum albae;Trockener Linden-Bu-Wald
N0013.0060000;13eh;Adenostylo-Fagetum seslerietosum;Trockener Alpendost-Bu-Wald
N0013.0090000;13h;Adenostylo-Fagetum typicum;Typischer Alpendost-Bu-Wald
N0013.0090030;13hFe;Adenostylo-Fagetum typicum, Ausbildung auf Fels;Typischer Alpendost-Bu-Wald auf Fels
N0013.1000000;13*;"Tilio-Fagetum; insubrische Ausbildung";Insubrischer Linden-Bu-Wald 
N0014.0000000;14;Carici (albae)-Fagetum typicum;Seggen-Bu-Wald mit Weissegge
N0014.1000000;14*;Cephelanthero-Fagetum insubricum s. l.;Trockener insubrischer Kalk-Bu-Wald
N0015.0000000;15;Carici-Fagetum caricetosum montanae;Seggen-Bu-Wald mit Bergsegge
N0016.0000000;16;Seslerio-Fagetum;Typischer Blaugras-Bu-Wald
N0016.1000000;16*;"Seslerio-Fagetum; insubrische Ausbildung";Insubrischer Blaugras-Bu-Wald
N0017.0000000;17;Taxo-Fagetum / Seslerio-Fagetum calamagrostietosum variae;Eiben-Bu-Wald/Steilhang-Bu-Wald mit Reitgras
N0018.0000000;18;Festuco-Abieti-Fagetum;Waldschwingel-Ta-Bu-Wald
N0018.0000030;18Fe;"Festuco-Abieti-Fagetum; Ausbildung auf Fels";Waldschwingel-Ta-Bu-Wald auf Fels
N0018.0000700;18M;Adenostyle glabrae-Abieti-Fagetum typicum;Typischer Karbonat-Ta-Bu-Wald
N0018.0140000;18w;Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae;Typischer Buntreitgras-Ta-Bu-Wald
N0018.0150000;18v;"Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae; Ausbildung mit Carex ferruginea";Buntreitgras-Ta-Bu-Wald mit Rostsegge
N0018.1000000;18*;Adenostyle glabrae-Abieti-Fagetum caricetosum albae;Karbonat-Ta-Bu-Wald mit Weissegge
N0019.0000000;19;Luzulo-Abieti-Fagetum typicum;Typischer Waldsimsen-Ta-Bu-Wald
N0019.0000030;19Fe;"Luzulo-Abieti-Fagetum typicum; Ausbildung auf Fels";Typischer Waldsimsen-Ta-Bu-Wald auf Fels
N0019.0000600;19L;Laburno-Abieti-Fagetum typicum;Typischer Goldregen-Ta-Bu-Wald
N0019.0002000;19LC;Laburno-Abieti-Fagetum cardaminetosum kitaibelii;Goldregen-Ta-Bu-Wald mit Kitaibels Zahnwurz
N0019.0002100;19LP;Laburno-Abieti-Fagetum petasitetosum;Goldregen-Ta-Bu-Wald mit weisser Pestwurz
N0019.0010000;19a;Luzulo-Abieti-Fagetum calamagrostietosum arundinaceae;Waldsimsen-Ta-Bu-Wald mit Rohrreitgras
N0019.0070000;19f;"Luzulo-Abieti-Fagetum; Ausbildung auf Pseudogley";Waldsimsen-Ta-Bu-Wald auf Pseudogley
N0020.0000000;20;Adenostylo alliariae-Abieti-Fagetum typicum;Hochstauden-Ta-Bu-Wald
N0020.0000030;20Fe;"Adenostylo alliariae-Abieti-Fagetum typicum; Ausbildung auf Fels";Hochstauden-Ta-Bu-Wald auf Fels
N0020.0000400;20E;Adenostylo alliariae-Abieti-Fagetum hordelymetosum;Waldgersten-Ta-Bu-Wald
N0021.0000000;21;Aceri-Fagetum;Ahorn-Bu-Wald
N0021.0000600;21L;Laburno-Aceretum ;Goldregen-Ahornwald
N0021.1000000;21*;Alno viridi-Sorbetum aucupariae ;Grünerlen-Vogelbeerwald
N0022.0000000;22;Phyllitido-Aceretum;Hirschzungen-Ahornwald
N0022.0000030;22Fe;"Phyllitido-Aceretum; Ausbildung auf Fels";Hirschzungen-Ahornwald auf Fels
N0022.0000100;22A;Arunco-Aceretum;Geissbart-Ahornwald
N0022.0000200;22C;Corydalido-Aceretum;Lerchensporn-Ahornwald
N0022.1000000;22*;"Phyllitido-Aceretum; insubrische Ausbildung";Insubrischer Hirschzungen-Ahornwald
N0023.0000000;23;Sorbo-Aceretum;Mehlbeer-Ahornwald
N0023.0000030;23Fe;"Sorbo-Aceretum; Ausbildung auf Fels";Mehlbeer-Ahornwald auf Fels
N0023.0001600;23H;Hepatico-Aceretum;Leberblümchen-Ahornwald
N0023.1000000;23*;Corylo-Sorbetum ariae ;Haselnuss-Mehlbeerwald
N0024.0000000;24;Ulmo-Aceretum asperuletosum taurinae;Ulmen-Ahornwald mit Turinermeister
N0024.1000000;24*;Ulmo-Aceretum typicum;Typischer Ulmen-Ahornwald
N0024.1000030;24*Fe;"Ulmo-Aceretum typicum; Ausbildung auf Fels";Typischer Ulmen-Ahornwald auf Fels
N0025.0000000;25;Asperulo taurinae-Tilietum typicum;Typischer Turinermeister-Lindenwald
N0025.0000030;25Fe;"Asperulo taurinae-Tilietum typicum; Ausbildung auf Fels";Typischer Turinermeister-Lindenwald auf Fels
N0025.0000100;25A;Fraxino-Tilietum aegopodietosum;Eschen-Lindenmischwald mit Geissfuss
N0025.0001100;25Q;Querco-Tilietum;Eichen-Lindenmischwald
N0025.0001700;25O;"Asperulo taurinae-Tilietum ostryetosum; insubrische Ausbildung";Trockener insubrischer Lindenmischwald mit Hopfenbuche
N0025.0001900;25F;Asperulo taurinae-Tilietum aegopodietosum;Turinermeister-Lindenwald mit Geissfuss
N0025.0001930;25FFe;"Asperulo taurinae-Tilietum aegopodietosum; Ausbildung auf Fels";Turinermeister-Lindenwald mit Geissfuss auf Fels
N0025.0010000;25a;"Luzulo niveae-Tilietum cordatae; typische insubrische Ausbildung";Typischer insubrischer Schneesimsen-Lindenwald
N0025.0010010;25as;"Luzulo niveae-Tilietum cordatae; trockene insubrische Ausbildung";Trockener insubrischer Schneesimsen-Lindenwald
N0025.0020000;25b;"Asperulo taurinae-Tilietum typicum; insubrische Ausbildung";Insubrischer Turinermeister-Lindenwald
N0025.0050000;25e;Tilio-Fraxinetum;Linden-Eschen-Felsenwald
N0025.0070000;25f;"Lunario-Acerion; Tilion; Arunco-Fraxinetum p. p.";Schluchtwald, saure Ausbildung
N0025.0170000;25au;"Luzulo niveae-Tilietum cordatae; feuchte insubrische Ausbildung";Feuchter insubrischer Schneesimsen-Lindenwald
N0025.1000000;25*;Aceri-Tilietum / Asperulo taurinae-Tilietum tametosum;Ahorn-Lindenwald/Trockener Turinermeister-Lindenwald
N0026.0000000;26;Aceri-Fraxinetum;Ahorn-Eschenwald
N0026.0000030;26Fe;"Aceri-Fraxinetum; Ausbildung auf Fels";Ahorn-Eschenwald auf Fels
N0026.0090000;26h;"Aceri-Fraxinetum; Höhenausbildung";Ahorn-Eschenwald, Höhenausbildung
N0026.0140000;26w;Aceri-Fraxinetum calamagrostietosum variae;Ahorn-Eschenwald mit Schlaffer Segge
N0027.0000000;27;Carici remotae-Fraxinetum;Bach-Eschenwald
N0027.0001700;27O;Osmundo-Alnetum  (syn Osmundo-Fraxinetum - Ceschi);Königsfarn-Schwarzerlenwald
N0027.0090000;27h;"Carici remotae-Fraxinetum; Ausbildung mit Petasites albus";Bach-Eschenwald, Höhenausbildung
N0027.1000000;27*;Adenostylo-Alnetum incanae;Hochstauden-Weisserlen-Ahornwald
N0028.0000000;28;Ulmo-Fraxinetum equisetosum hyemalis;Ulmen-Eschen-Auenwald
N0029.0000000;29;Ulmo-Fraxinetum typicum;Ulmen-Eschenwald
N0029.0000100;29A;Ulmo-Fraxinetum listeretosum;Zweiblatt-Eschen-Auenwald
N0029.0000200;29C;Ulmo-Fraxinetum caricetosum albae;Ulmen-Eschen-Auenwald mit Weissegge
N0029.0090000;29h;Ulmo-Fraxinetum equisetosum sylvaticae;Ulmen-Eschenwald mit Waldschachtelhalm
N0030.0000000;30;Pruno-Fraxinetum;Traubenkirschen-Eschenwald
N0031.0000000;31;Equiseto-Alnetum incanae;Tieflagen-Grauerlenwald
N0032.0000200;32C;Calamagrostio-Alnetum incanae;Untermontaner Grauerlenwald
N0032.0001200;32S;Alno-Salicetum pentandrae;Subalpiner Loorbeerweiden-Auenwald
N0032.0001400;32V;Violo-Alnetum incanae;Obermontaner Grauerlenwald
N0032.1000000;32*;Aceri-Alnetum incanae typicum;Typischer Ahorn-Weisserlenwald
N0033.0001400;33V;Salvio glutinosae-Fraxinetum violetosum biflorae;Montaner Salbei-Eschenmischwald
N0033.0010000;33a;"Arunco-Fraxinetum castanosum; saure Ausbildung";Heidelbeer-Geissbart-Eschenmischwald mit Kastanie
N0033.0020000;33b;"Arunco-Fraxinetum castanosum; basische Ausbildung";Zyklamen-Geissbart-Eschenmischwald mit Kastanie
N0033.0100000;33m;"Arunco-Fraxinetum castanosum; mesophile Ausbildung";Mesophiler Geissbart-Eschenmischwald mit Kastanie
N0034.0010000;34a;"Cruciato glabrae-Quercetum; saure Ausbildung";Saurer Kreuzlabkraut-Eichenwald mit Kastanie
N0034.0020000;34b;"Cruciato glabrae-Quercetum; basische Ausbildung";Basischer Kreuzlabkraut-Eichenwald mit Kastanie
N0034.1000000;34*;Luzulo niveae-Tilietum cordatae;Schneesimsen-Winterlindenwald
N0035.0000000;35;Galio-Carpinetum;Waldlabkraut-Hainbuchenmischwald
N0035.0000700;35M;Galio-Carpinetum molinietosum;Waldlabkraut-Hainbuchenwald mit Pfeifengras
N0035.0001100;35Q;Polygonato-Quercetum roboris (Sartori 1980) ;Stieleichen-Winterlinden-Talboden-Auenwald
N0035.0001200;35S;Scillo-Carpinetum;Blaustern-Hagebuchenmischwald
N0035.0010000;35A;Stellario-Carpinetum;Aronstab-Eichenmischwald
N0036.0000000;36;Carpino betuli-Ostryetum;Hagebuchen-Hopfenbuchenwald
N0037.0000000;37;Fraxino orni-Ostryetum;Hopfenbuchen-Eichenwald
N0038.0000000;38;Arabidi turritae-Quercetum pubescentis;Turmkressen-Flaumeichenwald
N0038.0001200;38S;Saponario-Quercetum pubescentis;Seifenkraut-Flaumeichenwald
N0038.1000000;38*;Asperulo purpurei-Quercetum pubescentis ;Purpurwaldmeister-Flaumeichenwald
N0039.0000000;39;Coronillo coronatae-Quercetum;Kronwicken-Eichenmischwald
N0039.1000000;39*;Rhamno alpinae-Quercetum;Kreuzdorn-Eichenmischwald
N0040.0000800;40P;Corylo-Populetum;Pionier-Aspen-Haselbuschwald
N0040.0000820;40PBl;"Corylo-Populetum; Blockausbildung";Aspen-Haselbuschwald auf Blockschutt
N0040.0130800;40Pt;"Corylo-Populetum; Ausbildung tiefer Lagen";Pionier-Aspen-Haselbuschwald, Tieflagenausbildung
N0040.0130820;40PBlt;"Corylp-Populetum; Blockausbildung tiefer Lagen";Aspen-Haselbuschwald auf Blockschutt, Tieflagenausbildung
N0040.1000000;40*;Teucrio-Quercetum;Gamander-Eichenwald
N0041.0000000;41;Lathyro-Quercetum;Platterbsen-Eichenmischwald
N0041.1000000;41*;Luzulo-Quercetum;Hainsimsen-Eichenwald
N0042.0000200;42C;Phyteum betonicifoliae-Quercetum castanosum;Rapunzel-Eichenwald mit Kastanie
N0042.0001100;42Q;Phyteum betonicifoliae-Quercetum typicum;Typischer Rapunzel-Eichenwald
N0042.0001400;42V;Phyteumo betonicifoliae-Quercetum vaccinetosum;Eichen-Kastanienwald mit Heidelbeere
N0042.0110000;42r;Phyteumo betonicifoliae-Quercetum festucetosum variae;Insubrischer Eichenwald auf Fels
N0042.0120000;42B;Allio lusitanici-Quercetum pubescentis;Insubrischer Eichenwald auf Fels, basische Ausbildung
N0042.0130000;42t;"Phyteumo betonicifoliae-Quercetum polygonatetosum multiflorii; Cruciato glabrae-Quercetum p.p.";Eichen-Kastanienwald in Entwicklung
N0043.0000000;43;Salicetum albae;Silberweiden-Auenwald
N0043.0001200;43S;Salicetum elaeagno-daphnoidis;Lavendelweidengebüsch
N0043.1000000;43*;Coronillo emeri-Populetum nigrae;Insubrischer Schwarzpappel-Auenwald
N0044.0000000;44;Carici elongatae-Alnetum glutinosae;Seggen-Schwarzerlenbruch
N0045.0000000;45;Pino-Betuletum;Föhren-Birkenbruchwald
N0046.0000000;46;Vaccinio myrtillii-Abieti-Piceetum typicum;Typischer Heidelbeer-Ta-Fi-Wald
N0046.0000003;46Re;Vaccinio myrtillii-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Heidelbeer-Ta-Fi-Wald im Ta-Reliktareal
N0046.0000700;46M;Vaccinio myrtillii-Abieti-Piceetum melampyretosum;Heidelbeer-Ta-Fi-Wald auf Podsol
N0046.0000703;46MRe;Vaccinio myrtillii-Abieti-Piceetum melampyretosum im Tannen-Reliktareal;Heidelbeer-Ta-Fi-Wald auf Podsol im Ta-Reliktareal
N0046.0130000;46t;Bazzanio-Abietetum;Peitschenmoos-Fichten-Tannenwald
N0046.1000000;46*;Vaccinio myrtillii-Abieti-Piceetum sphagnetosum;Heidelbeer-Ta-Fi-Wald mit Torfmoos
N0046.1000003;46*Re;Vaccinio myrtillii-Abieti-Piceetum sphagnetosum im Tannen-Reliktareal;Heidelbeer-Ta-Fi-Wald mit Torfmoos im Ta-Reliktareal
N0047.0000000;47;Calamagrostio-villosae-Abieti-Piceetum typicum;Typischer Wollreitgras-Ta-Fi-Wald
N0047.0000003;47Re;Calamagrostio-villosae-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Wollreitgras-Ta-Fi-Wald im Ta-Reliktareal
N0047.0000300;47D;Calamagrostio-villosae-Abieti-Piceetum dryopteridetosum;Farnreicher Wollreitgras-Ta-Fi-Wald, 
N0047.0000303;47DRe;Calamagrostio-villosae-Abieti-Piceetum dryopteridetosum im Tannen-Reliktareal;Farnreicher Wollreitgras-Ta-Fi-Wald im Ta-Reliktareal
N0047.0000700;47M;Calamagrostio-villosae-Abieti-Piceetum melampyretosum;Wollreitgras-Ta-Fi-Wald mit Wachtelweizen
N0047.0001600;47H;Hypno-Piceetum;Zypressenschlafmoos-Fi-Wald
N0047.1000000;47*;Rhododendro-Abietetum;Alpenrosen-Lärchen-Ta-Wald
N0047.1000001;47*Lä;"Rhododendro-Abietetum; Lärchenausbildung";Alpenrosen-Lärchen-Ta-Wald, Lärchenausbildung
N0048.0000000;48;Asplenio-Abieti-Piceetum;Blockschutt-Tannen-Fichtenwald
N0049.0000000;49;Equiseto-Abieti-Piceetum typicum;Typischer Schachtelhalm-Ta-Fi-Wald
N0049.1000000;49*;Equiseto-Piceetum caricetosum ferrugineae;Schachtelhalm-Fi-Wald mit Rostsegge
N0049.1000002;49*Ta;Equiseto-Abieti-Piceetum caricetosum ferrugineae;Schachtelhalm-Ta-Fi-Wald mit Rostsegge 
N0050.0000000;50;Adenostylo alliariae-Abieti-Piceetum typicum;Typischer Hochstauden-Ta-Fi-Wald
N0050.0000003;50Re;Adenostylo alliariae-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Hochstauden-Ta-Fi-Wald im Ta-Reliktareal
N0050.0000030;50Fe;"Adenostylo alliariae-Abieti-Piceetum typicum; Ausbildung auf Fels";Typischer Hochstauden-Ta-Fi-Wald auf Fels
N0050.0000800;50P;Adenostylo-Abieti-Piceetum petasitetosum;Hochstauden-Ta-Fi-Wald mit Pestwurz
N0050.1000000;50*;Adenostylo glabrae-Abieti-Piceetum typicum;Karbonat-Ta-Fi-Wald mit kahlem Alpendost
N0050.1000003;50*Re;Adenostylo glabrae-Abieti-Piceetum typicum im Tannen-Reliktareal;Karbonat-Ta-Fi-Wald mit kahlem Alpendost im Ta-Reliktareal
N0051.0000000;51;Galio-Abieti-Piceetum typicum;Typischer Labkraut-Ta-Fi-Wald
N0051.0000003;51Re;Galio-Abieti-Piceetum typicum im Tannen-Reliktareal;Typischer Labkraut-Ta-Fi-Wald im Ta-Reliktareal
N0051.0000030;51Fe;"Galio-Abieti-Piceetum typicum; Ausbildung auf Fels";Typischer Labkraut-Ta-Fi-Wald auf Fels
N0051.0000200;51C;Galio-Abieti-Piceetum coryletosum;Labkraut-Ta-Fi-Wald mit Hasel
N0052.0000000;52;Adenostylo glabrae-Abieti-Piceetum caricetosum albae;Karbonat-Ta-Fi-Wald mit Weisssegge
N0052.0000003;52Re;Adenostylo glabrae-Abieti-Piceetum caricetosum albae im Tannen-Reliktareal;Karbonat-Ta-Fi-Wald mit Weisssegge im Ta-Reliktareal
N0052.0001300;52T;Adenostylo glabrae -Abieti-Piceetum caricetosum albae mit Tilia cordata;Karbonat-Ta-Fi-Wald mit Winterlinde
N0053.0000000;53;Polygalo chamaebuxi-Piceetum;Typischer Zwergbuchs-Fi-Wald
N0053.0000001;53Lä;"Polygalo chamaebuxi-Piceetum; Lärchenausbildung";Typischer Zwergbuchs-Fi-Wald, Lärchenausbildung
N0053.0000002;53Ta;Polygalo chamaebuxi-Piceetum mit Tanne;Typischer Zwergbuchs-Fi-Wald mit Tanne
